handle,school,bias_default,ic_30d,pval,n_obs,mean_signal,std_signal,long_signal_days,short_signal_days,hit_long_30d,hit_short_30d
AnalysisElliott,cycle,long_tilted,0.04803446437787846,0.14632369773750745,916,0.03673384602601623,0.08182965912132631,215,0,0.4697674418604651,
ecoinometrics,mixed,long_tilted,0.04644369249766823,0.1601760426802965,916,0.0429886957483779,0.12826725070245074,342,180,0.47076023391812866,0.7555555555555555
JakeGagain,content_creator,long_tilted,0.04629406359538058,0.1615282867138136,916,0.048721624097123106,0.14459832094838396,376,244,0.4787234042553192,0.8073770491803278
GarethSoloway,mixed,contrarian,0.046117108752292,0.1631385699685284,916,0.0038922941491252067,0.05147416109283993,27,15,0.14814814814814814,0.6
IamCryptoWolf,mixed,long_tilted,0.045724390315151686,0.16675542200035418,916,0.025400320166150712,0.06644722576249085,107,1,0.3644859813084112,0.0
TATrader_Alan,mixed,long_tilted,0.04545280597990913,0.1692916301780309,916,0.02066000085924626,0.047844130036067536,25,0,0.2,
CryptoMichNL,mixed,long_tilted,0.04346259835984341,0.18876485148493394,916,0.02693725038748224,0.05562635321304063,120,0,0.35833333333333334,
devchart,mixed,contrarian,0.04155529816963481,0.20892860287063253,916,-0.01740002141760766,0.06034450798141162,4,185,0.5,0.7567567567567568
scottmelker,mixed,long_tilted,0.04100487213358765,0.21502736958423455,916,0.03247702610968703,0.0777330522193191,105,6,0.3523809523809524,0.5
52kskew,derivatives,neutral,0.04060535328347387,0.21953359703434425,916,0.003041675641880095,0.03758761563414844,0,0,,
Jamie1Coutts,mixed,long_tilted,0.04046986292158086,0.22107707127563936,916,0.027824692338229456,0.04463435584947267,51,0,0.3137254901960784,
EWaveMonitor,pure_TA,neutral,0.039599806317985195,0.23117377510912038,916,0.005459115120687174,0.08319009712223531,171,10,0.39766081871345027,0.9
blockchainedbb,mixed,long_tilted,0.039262359200573985,0.23517644058951553,916,0.023176155139856013,0.05299415154780968,91,0,0.24175824175824176,
defi_mochi,mixed,contrarian,0.03780292555863233,0.2530508798411832,916,-0.00479640212913131,0.07310399880136134,57,197,0.3684210526315789,0.7461928934010152
dpuellARK,mixed,long_tilted,0.037751927024624155,0.2536921234562675,916,0.019741703940738653,0.07274768361733765,96,3,0.3229166666666667,0.6666666666666666
Negentropic_,mixed,long_tilted,0.037211658191364315,0.26055472919384487,916,0.03676214910752642,0.056173901384891055,125,0,0.416,
CrashiusClay69,mixed,long_tilted,0.0370689611662223,0.2623885051295985,916,0.04025764804605185,0.11200454162048874,373,163,0.4772117962466488,0.7668711656441718
TylerSCrypto,content_creator,long_tilted,0.03669867514737874,0.2671884289520497,916,0.05101687009170912,0.12065130184077473,376,129,0.48404255319148937,0.7751937984496124
gurgavin,content_creator,contrarian,0.03555909427835997,0.28233715409705684,916,0.013562603654732741,0.08399301552912779,210,158,0.3904761904761905,0.7784810126582279
milesdeutscher,mixed,long_tilted,0.03381231122615705,0.30666677176362656,916,0.04100376415931036,0.08584615247378058,227,1,0.4008810572687225,0.0
Ninjascalp,mixed,contrarian,0.03182312176523813,0.33601396772997927,916,0.010565476898772165,0.022350431542264203,0,0,,
therationalroot,cycle,long_tilted,0.03134870861567224,0.34327127084826714,916,0.04474845965185141,0.12397217109227138,360,155,0.4638888888888889,0.7161290322580646
MMCrypto,mixed,long_tilted,0.030639513776687506,0.3543050673487013,916,0.033104654761769804,0.0941574447538705,349,7,0.4584527220630373,0.0
inmortalcrypto,cycle,long_tilted,0.029664581762165604,0.3698338852832343,916,0.02543607991017563,0.07871554278159712,122,7,0.3360655737704918,0.2857142857142857
ChartsBTC,cycle,long_tilted,0.028738718181712333,0.38496572454570704,916,0.045726678585035624,0.12438451247491888,380,175,0.48947368421052634,0.72
TechDev_52,cycle,long_tilted,0.027348376085768462,0.4083864516165932,916,0.0327098782977184,0.05201681903795352,108,0,0.3333333333333333,
iamjosephyoung,content_creator,long_tilted,0.026049401790939078,0.4310155394646791,916,0.04777637324752931,0.09481719441430285,355,3,0.4704225352112676,0.6666666666666666
rektcapital,cycle,long_tilted,0.024591329144888666,0.4572608501302762,916,0.022954178381288503,0.07876844538024545,114,21,0.3157894736842105,0.47619047619047616
AltcoinSherpa,mixed,long_tilted,0.023646801023857498,0.47472969304484824,916,-0.010277997738050392,0.04832429066212806,5,12,0.6,0.8333333333333334
CryptoRover,content_creator,long_tilted,0.023359297117799747,0.480118742771879,916,0.040513757335368675,0.08594780774203728,219,0,0.3881278538812785,
algerstmehn,content_creator,long_tilted,0.022586086688959377,0.49477576434362525,916,0.04585056653136602,0.10957542730197102,429,0,0.4755244755244755,
CryptoTony__,mixed,long_tilted,0.022384762535147783,0.4986308811322618,916,0.018595229297961775,0.0476808943692418,84,0,0.2619047619047619,
TraderKoz,mixed,long_tilted,0.01936418914266919,0.5583316790419044,916,0.024042339501254374,0.0644893534413375,107,3,0.34579439252336447,0.0
IvanOnTech,content_creator,long_tilted,0.014545293536781807,0.6601959776709994,916,0.057142107880464345,0.10184137942447427,395,4,0.4835443037974684,0.5
matthughes13,mixed,contrarian,0.007680135200650426,0.8164377472598692,916,0.04364283459922598,0.05856122943924424,177,0,0.3898305084745763,
WillyWoo,onchain,long_tilted,0.007315525602202004,0.8250078664711913,916,0.03961908602898227,0.05722982823918078,173,0,0.44508670520231214,
byzgeneral,derivatives,contrarian,0.0068472979551986776,0.8360439966750397,916,0.008855085600845764,0.021476850035280066,2,2,0.0,0.0
TimmerFidelity,mixed,long_tilted,0.006834894669630205,0.836336790951662,916,0.04940466249110044,0.07214756830349642,220,0,0.41363636363636364,
LookOnChain,onchain,neutral,0.0067374146772956915,0.8386387068778048,916,-0.0007599539350999339,0.013257100079637476,0,0,,
