handle,school,bias_default,ic_30d,pval,n_obs,mean_signal,std_signal,long_signal_days,short_signal_days,hit_long_30d,hit_short_30d
laojiucai123,mixed,short_tilted,-0.014167492950107424,0.6684894040364977,916,-0.0036779562300804174,0.06374615481671131,19,177,0.2631578947368421,0.5141242937853108
TraderMercury,pure_TA,long_tilted,-0.01737051269186223,0.5995492314930241,916,0.01809198552001082,0.06129559451810844,92,1,0.3804347826086957,0.0
AltcoinSherpa,mixed,long_tilted,-0.031110340249304716,0.3469551487605725,916,0.00037849708287637166,0.048448626146424374,16,10,0.125,0.6
52kskew,derivatives,neutral,-0.03260489161025098,0.3242716633396795,916,0.009889754088168695,0.03697710754843638,0,0,,
defi_mochi,mixed,contrarian,-0.03349402027702732,0.3112450924687625,916,0.006513589860780555,0.07229582343711033,84,157,0.40476190476190477,0.4713375796178344
gurgavin,content_creator,contrarian,-0.03583601599210131,0.2786035573502333,916,0.03288698400864234,0.0840693256404485,280,118,0.425,0.4830508474576271
krugermacro,macro,contrarian,-0.03604215878642435,0.27584610823686107,916,0.027059716994829074,0.05931471996270368,107,2,0.308411214953271,0.0
Ninjascalp,mixed,contrarian,-0.04712112570879101,0.15416059347479857,916,0.010899295924533007,0.019473160923896855,2,0,1.0,
JamieSaettele,mixed,contrarian,-0.049529282558374965,0.1341590821304778,916,0.017015117850787534,0.027396314200175905,8,0,0.125,
Pentosh1,content_creator,contrarian,-0.05170283204101441,0.1178831379782484,916,0.02664263227378897,0.04017043173580379,0,2,,0.5
GarethSoloway,mixed,contrarian,-0.05669090111842872,0.08637926987417924,916,0.013920490520872054,0.04824018726136418,23,7,0.2608695652173913,0.2857142857142857
NickTimiraos,macro,neutral,-0.08690368762283998,0.008499100898791228,916,0.04409104253054935,0.05638799659878031,143,0,0.4825174825174825,
byzgeneral,derivatives,contrarian,-0.08796334736841392,0.007726724054512626,916,0.005008786765953323,0.02357822501196657,6,3,0.5,0.6666666666666666
VetleLunde,derivatives,long_tilted,-0.09106803096795699,0.005812271147259045,916,0.017311027738483302,0.02200077243869132,0,0,,
CrypNuevo,derivatives,contrarian,-0.09590344129323072,0.0036690079416484027,916,0.014684595997125422,0.04037824321034215,42,4,0.35714285714285715,0.5
HsakaTrades,derivatives,contrarian,-0.09848549320125065,0.0028460115143385044,916,0.020707281654482098,0.04503102804026522,1,7,1.0,0.42857142857142855
IncomeSharks,mixed,long_tilted,-0.10059612970825513,0.0023024029575838827,916,0.025102925479227677,0.05120981640235581,187,10,0.40641711229946526,0.2
Steph_iscrypto,content_creator,long_tilted,-0.10239860666788143,0.0019152276736003361,916,0.030518448086063247,0.049280675013972215,89,0,0.4157303370786517,
MacroCRG,mixed,long_tilted,-0.10821423111175009,0.001036886544322045,916,0.022771123661766465,0.028452269714182868,5,0,0.4,
ColdBloodShill,mixed,long_tilted,-0.11144906417884361,0.0007275354990480952,916,0.013500990505248077,0.037715252065145435,9,5,0.6666666666666666,0.0
CastilloTrading,structural,long_tilted,-0.11405280805208842,0.000543309735527878,916,0.01818350370204479,0.04904799085535104,25,14,0.44,0.35714285714285715
qinbafrank,mixed,long_tilted,-0.11462773683262052,0.0005089694941041841,916,0.03667300610689955,0.03960232545531805,42,0,0.23809523809523808,
CoinHuSays,mixed,long_tilted,-0.11724282174952119,0.0003767785498819419,916,0.030253361715942586,0.040960131723174385,95,0,0.35789473684210527,
GugaOnChain,onchain,neutral,-0.12252493704030192,0.0002014207845161778,916,0.0032266296422177932,0.011277067851479836,0,0,,
Sheldon_Sniper,pure_TA,long_tilted,-0.1256667993259048,0.00013712326697390838,916,0.023402559155072607,0.04910365091567001,196,1,0.39285714285714285,0.0
WClementeIII,macro,long_tilted,-0.1306921797643178,7.275594734919921e-05,916,0.032596074184027476,0.040700354892182426,59,0,0.22033898305084745,
Engineercryptoo,mixed,long_tilted,-0.13367895728329815,4.937548428806215e-05,916,0.026279796740647367,0.050077528571785636,194,1,0.39690721649484534,0.0
CryptoGodJohn,mixed,long_tilted,-0.1408822931339765,1.8738932593545123e-05,916,0.017324710432403616,0.0356587679895834,10,7,0.7,0.7142857142857143
fundstrat,mixed,long_tilted,-0.15099325496723415,4.4327728953757936e-06,916,0.05245541886442012,0.0552912234476951,224,0,0.40625,
CryptoCred,mixed,neutral,-0.15226605540373211,3.672014889292086e-06,916,0.023265053745164462,0.04098460647681234,42,6,0.35714285714285715,0.3333333333333333
shufen46250836,mixed,long_tilted,-0.1662762690571375,4.1743285470955275e-07,916,0.05026197808457451,0.05216359664525285,159,0,0.3333333333333333,
christiaandefi,mixed,long_tilted,-0.1718999148231984,1.6539338253869396e-07,916,0.022833305024847546,0.03447490911700256,26,0,0.11538461538461539,
