handle,school,bias_default,ic_30d,pval,n_obs,mean_signal,std_signal,long_signal_days,short_signal_days,hit_long_30d,hit_short_30d
CryptoRover,content_creator,long_tilted,0.04826710018636196,0.1443770493905622,916,0.04215537843620575,0.08546957149414841,221,0,0.4117647058823529,
IamCryptoWolf,mixed,long_tilted,0.04814172215057897,0.14542371021142375,916,0.025885616598271734,0.06553506907363316,92,1,0.5108695652173914,0.0
algerstmehn,content_creator,long_tilted,0.039352334964726544,0.23410442569420448,916,0.04856347267375872,0.10840764915108841,455,0,0.42637362637362636,
blockchainedbb,mixed,long_tilted,0.03934658389089316,0.23417284318810497,916,0.024360505429009794,0.05318921934776701,84,0,0.44047619047619047,
TraderKoz,mixed,long_tilted,0.03712328914443319,0.2616892988806272,916,0.025051836650124667,0.06409010867794766,96,1,0.4166666666666667,0.0
Yodaskk,mixed,contrarian,0.03491985596903257,0.29108451819988174,916,0.012078835056128579,0.07453282282398956,130,94,0.47692307692307695,0.30851063829787234
BullTheoryio,mixed,contrarian,0.034758929923719026,0.2933150026103021,916,0.016224697993256935,0.12923213700781228,337,169,0.4629080118694362,0.4378698224852071
IvanOnTech,content_creator,long_tilted,0.030621280250525084,0.3545916659695017,916,0.05856883297849747,0.10157404025683324,428,6,0.4392523364485981,0.6666666666666666
intocryptoverse,cycle,contrarian,0.02765071000702004,0.40322273207157944,916,0.02097286935082844,0.10469902505212975,289,134,0.4844290657439446,0.417910447761194
WhalePanda,mixed,contrarian,0.027422721485232178,0.4071130356605882,916,0.018599775807771644,0.10179511182988688,203,135,0.4729064039408867,0.4074074074074074
DrProfitCrypto,mixed,contrarian,0.0268453851824226,0.41706389706735686,916,0.005026510993171604,0.0649697554520845,92,2,0.5108695652173914,0.5
ki_young_ju,onchain,long_tilted,0.02647413663495984,0.42353761826367636,916,0.004629006854408038,0.06214896941124474,77,54,0.5064935064935064,0.4074074074074074
Jamie1Coutts,mixed,long_tilted,0.025549806249543276,0.43990855914801286,916,0.029050337435490275,0.044482699150946325,64,0,0.5625,
LookOnChain,onchain,neutral,0.025382713865471838,0.44290617049723013,916,-0.0006592600386991927,0.010497969203492451,0,0,,
